,번호,개방서비스명,영업상태명,소재지전화,소재지전체주소,Latitude,Longitude,도로명전체주소,도로명우편번호,사업장명
15,16,병원,영업/정상,534230100,대구광역시 중구 수동 30번지,35.8699793,128.589359,대구광역시 중구 국채보상로 536 (수동),41934,으뜸병원
18,19,병원,영업/정상,"1577-0007, 715-7111",대구광역시 중구 동산동 360번지 5~9층,35.8664616,128.5861077,"대구광역시 중구 달구벌대로 2033, 5층~9층 (동산동, 대구메디센터)",41931,대구자생한방병원
19,20,병원,영업/정상,600-7114,대구광역시 중구 삼덕동2가 188번지 1호,35.8636079,128.6013052,"대구광역시 중구 달구벌대로 2175 (삼덕동2가, 경북대학교치과병원)",41940,경북대학교치과병원
22,23,병원,영업/정상,423-3500,대구광역시 중구 봉산동 185-8,35.8623406,128.5997422,대구광역시 중구 대봉로 267 (봉산동),41949,내이치과병원
24,25,병원,영업/정상,256-2145,대구광역시 중구 서문로2가66-5,35.8705479,128.5865668,대구광역시 중구 국채보상로 511 (서문로2가),41921,덕영치과병원
26,27,병원,영업/정상,606-0777,대구광역시 중구 삼덕2가45,35.8664929,128.5935208,대구광역시 중구 동덕로 141 (삼덕동2가),41940,분홍빛으로병원
27,28,병원,영업/정상,532121000,대구광역시 중구 삼덕2가 149-132,35.8664929,128.5935208,대구광역시 중구 공평로 12 (삼덕동2가),41940,미르치과병원
28,29,병원,영업/정상,762-8228,대구광역시 중구 남산동 700번지 11호,35.8606408,128.5917039,대구광역시 중구 중앙대로 303 (남산동),41968,라파엘병원
32,33,병원,영업/정상,053-423-3653,대구광역시 중구 봉산동 50 반월당 클래시아2차,35.8647905,128.5948655,"대구광역시 중구 명륜로23길 106, 반월당 클래시아2차 2층 (봉산동)",41958,삼육오엠씨병원
34,35,병원,영업/정상,1833-2929,대구광역시 중구 동성로3가 91-9,35.8670844,128.594645,"대구광역시 중구 동성로1길 15, 3층 (동성로3가)",41942,리봄한방병원 대구점
37,38,병원,영업/정상,053-957-7700,대구광역시 동구 봉무동 1553-2 연세메디컬센터,35.9209485,128.642897,"대구광역시 동구 팔공로 242-13, 연세메디컬센터 지상7~9층 (봉무동)",41027,이시아한방병원
46,47,병원,영업/정상,053-749-0000,대구광역시 동구 효목동 510번지 4호 동부허병원,35.8726473,128.6357572,"대구광역시 동구 화랑로 81, 동부허병원 (효목동)",41236,열경의료재단동부허병원
48,49,병원,영업/정상,053-663-1000,대구광역시 동구효목2동 640-1,35.8770003,128.6376022,대구광역시 동구 화랑로 169 (효목동),41241,대동병원
49,50,병원,영업/정상,053-959-1751,대구광역시 동구신암1동 803-2,35.8850178,128.6182009,대구광역시 동구 아양로 1 (신암동),41196,제일안과병원
50,51,병원,영업/정상,1644-8575,대구광역시 동구신천동 819-46,35.8683863,128.6151888,대구광역시 동구 국채보상로 769 (신천동),41267,의료법인 백천의료재단 바로본병원
52,53,병원,영업/정상,053-980-9000,대구광역시 동구 방촌동 919-5 강남병원,35.8829888,128.6633512,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",41145,강남종합병원
