Unnamed: 0,출발지 행정동,출발지 구주소
1,황금1동,대구 수성구 황금1동
2,신당동,서울 중구 신당동
3,신암4동,대구 동구 신암4동
4,삼덕동,대구 수성구 삼덕동
5,지산1동,광주 동구 지산1동
7,진천동,대구 달서구 진천동
9,비산7동,대구 서구 비산7동
10,관문동,경기 과천시 관문동
11,이곡2동,대구 달서구 이곡2동
14,대현동,서울 서대문구 대현동
18,신천4동,대구 동구 신천4동
19,봉덕1동,대구 남구 봉덕1동
20,성내1동,서울 강동구 성내1동
21,태전2동,대구 북구 태전2동
23,월성2동,대구 달서구 월성2동
24,남산2동,대구 중구 남산2동
25,장기동,경기 김포시 장기동
28,만촌2동,대구 수성구 만촌2동
29,침산3동,대구 북구 침산3동
30,평리5동,대구 서구 평리5동
31,노원동,대구 북구 노원동
32,두류1,오류
33,칠성동,대구 북구 칠성동
34,봉덕2동,대구 남구 봉덕2동
38,월성1동,대구 달서구 월성1동
42,남산1동,대구 중구 남산1동
43,송현1동,인천 동구 송현1.2동
45,성당동,대구 달서구 성당동
48,본동,서울 동작구 본동
50,범물2동,대구 수성구 범물2동
51,대명3동,대구 남구 대명3동
54,상인2동,대구 달서구 상인2동
56,논공읍,대구 달성군 논공읍
59,산격1동,대구 북구 산격1동
60,산격4동,대구 북구 산격4동
64,봉덕3동,대구 남구 봉덕3동
65,평리1동,대구 서구 평리1동
68,평리3동,대구 서구 평리3동
69,동촌동,경북 포항시 남구 동촌동
73,옥포읍,대구 달성군 옥포읍
74,현풍읍,대구 달성군 현풍읍
76,만촌1동,대구 수성구 만촌1동
79,화원읍,대구 달성군 화원읍
82,안심2동,대구 동구 안심2동
83,공산동,대구 동구 공산동
86,송현2동,인천 동구 송현1.2동
88,신천3동,대구 동구 신천3동
90,안심3동,대구 동구 안심3동
91,평리4동,대구 서구 평리4동
92,안심1동,대구 동구 안심1동
95,성내2동,서울 강동구 성내2동
96,유가읍,대구 달성군 유가읍
97,상인3동,대구 달서구 상인3동
100,대명4동,대구 남구 대명4동
101,복현2동,대구 북구 복현2동
103,신암2동,대구 동구 신암2동
105,도원동,서울 용산구 도원동
108,비산2.3동,경기 안양시 동안구 비산동
113,내당1동,대구 서구 내당1동
114,불로.봉무동,대구 동구 불로.봉무동
117,다사읍,대구 달성군 다사읍
119,비산4동,대구 서구 비산4동
121,남산4동,대구 중구 남산4동
123,수성4가동,대구 수성구 수성4가동
127,동인동,대구 중구 동인동
131,상중이동,대구 서구 상중이동
136,국우동,대구 북구 국우동
142,대명2동,대구 남구 대명2동
144,무태조야동,대구 북구 무태조야동
145,내당4동,대구 서구 내당4동
146,본리동,대구 달서구 본리동
148,산격3동,대구 북구 산격3동
151,원대동,대구 서구 원대동
155,읍내동,충남 당진시 읍내동
162,상인1동,대구 달서구 상인1동
164,대명6동,대구 남구 대명6동
165,대명9동,대구 남구 대명9동
167,용산1동,대구 달서구 용산1동
168,대신동,서울 서대문구 대신동
170,범물1동,대구 수성구 범물1동
172,수성2.3가동,대구 수성구 수성2.3가동
180,효목1동,대구 동구 효목1동
185,동천동,경기 용인시 수지구 동천동
190,평리6동,대구 서구 평리6동
192,고성동,대구 북구 고성동
195,평리2동,대구 서구 평리2동
204,지저동,대구 동구 지저동
206,감삼동,대구 달서구 감삼동
213,비산1동,경기 안양시 동안구 비산1동
219,범어1동,대구 수성구 범어1동
228,산격2동,대구 북구 산격2동
252,해안동,인천 중구 해안동1가
262,비산6동,대구 서구 비산6동
263,지산2동,광주 동구 지산2동
270,남산3동,대구 중구 남산3동
282,용산2동,대구 달서구 용산2동
286,성내3동,서울 강동구 성내3동
288,파동,대구 수성구 파동
293,대명11동,대구 남구 대명11동
298,효목2동,대구 동구 효목2동
299,대명1동,대구 남구 대명1동
