,Unnamed: 0,출발지 행정동,출발지 구주소
0,0,평리5동,대구 서구 평리5동
1,1,신암4동,대구 동구 신암4동
2,3,월성1동,대구 달서구 월성1동
3,4,화원읍,대구 달성군 화원읍
4,6,다사읍,대구 달성군 다사읍
5,7,대명3동,대구 남구 대명3동
6,8,도원동,서울 용산구 도원동
7,9,신암3동,대구 동구 신암3동
8,10,남산3동,대구 중구 남산3동
9,11,평리4동,대구 서구 평리4동
10,12,진천동,대구 달서구 진천동
11,14,성내1동,서울 강동구 성내1동
12,16,이곡2동,대구 달서구 이곡2동
13,17,신암2동,대구 동구 신암2동
14,20,지저동,대구 동구 지저동
15,21,태전2동,대구 북구 태전2동
16,23,대명4동,대구 남구 대명4동
17,24,태전1동,대구 북구 태전1동
18,27,성당동,대구 달서구 성당동
19,28,송현2동,인천 동구 송현1.2동
20,29,대명9동,대구 남구 대명9동
21,31,공산동,대구 동구 공산동
22,33,남산4동,대구 중구 남산4동
23,38,동천동,경기 용인시 수지구 동천동
24,41,상인3동,대구 달서구 상인3동
25,44,본동,서울 동작구 본동
26,46,대명6동,대구 남구 대명6동
27,49,내당4동,대구 서구 내당4동
28,50,노원동,대구 북구 노원동
29,53,장기동,경기 김포시 장기동
30,55,대현동,서울 서대문구 대현동
31,57,지산2동,광주 동구 지산2동
32,60,봉덕2동,대구 남구 봉덕2동
33,62,칠성동,대구 북구 칠성동
34,65,성내3동,서울 강동구 성내3동
35,66,봉덕3동,대구 남구 봉덕3동
36,69,무태조야동,대구 북구 무태조야동
37,70,구지면,대구 달성군 구지면
38,71,신암1동,대구 동구 신암1동
39,72,신당동,서울 중구 신당동
40,73,본리동,대구 달서구 본리동
41,75,유가읍,대구 달성군 유가읍
42,77,불로.봉무동,대구 동구 불로.봉무동
43,78,수성4가동,대구 수성구 수성4가동
44,80,내당1동,대구 서구 내당1동
45,81,두류1,오류
46,83,가창면,대구 달성군 가창면
47,85,복현2동,대구 북구 복현2동
48,89,상인2동,대구 달서구 상인2동
49,91,효목2동,대구 동구 효목2동
50,92,상중이동,대구 서구 상중이동
51,98,파동,대구 수성구 파동
52,103,황금1동,대구 수성구 황금1동
53,107,삼덕동,대구 수성구 삼덕동
54,109,동촌동,경북 포항시 남구 동촌동
55,114,산격1동,대구 북구 산격1동
56,115,범어1동,대구 수성구 범어1동
57,122,월성2동,대구 달서구 월성2동
58,125,상인1동,대구 달서구 상인1동
59,127,용산1동,대구 달서구 용산1동
60,132,범물1동,대구 수성구 범물1동
61,135,안심1동,대구 동구 안심1동
62,138,비산6동,대구 서구 비산6동
63,140,침산2동,대구 북구 침산2동
64,158,고산1동,대구 수성구 고산1동
65,159,수성1가동,대구 수성구 수성1가동
66,164,만촌1동,대구 수성구 만촌1동
67,166,지산1동,광주 동구 지산1동
68,173,안심2동,대구 동구 안심2동
69,179,효목1동,대구 동구 효목1동
70,183,안심3동,대구 동구 안심3동
71,186,신천3동,대구 동구 신천3동
72,194,침산1동,대구 북구 침산1동
73,196,안심4동,대구 동구 안심4동
74,205,침산3동,대구 북구 침산3동
75,209,감삼동,대구 달서구 감삼동
76,224,두산동,강원특별자치도 강릉시 두산동
77,225,이천동,경북 안동시 이천동
78,230,산격3동,대구 북구 산격3동
79,240,방촌동,대구 동구 방촌동
80,242,남산2동,대구 중구 남산2동
81,250,중동,서울 마포구 중동
82,254,구암동,대전 유성구 구암동
83,264,국우동,대구 북구 국우동
84,275,대신동,서울 서대문구 대신동
85,281,내당2.3동,대구 서구 내당동
86,309,관음동,대구 북구 관음동
87,318,범어2동,대구 수성구 범어2동
88,321,현풍읍,대구 달성군 현풍읍
89,327,관문동,경기 과천시 관문동
90,335,산격2동,대구 북구 산격2동
91,340,고산2동,대구 수성구 고산2동
