,출발지 행정동
98, 수성동4가 
99, 송현동 
100, 각산동
101, 월성동
102, 국우동 
103, 대명동
104, 이곡동
105, 입석동 
106, 신천동(신천4동)
107, 진인동
108, 범어동
109, 지저동
111, 신암동
112, 신암동 
114, 대천동
115, 감삼동
117, 대명9동 
118, 성당동
119, 상동
120, 침산동 
121, 신매동
122, 도원동
123, 신천동(신천3동)
124, 칠성동1가
125, 동산동
126, 남산동
127, 중동 
129, 수성동3가
132, 계산동2가
133, 봉덕동
135, 중리동 
137, 파동
138, 신암1동
139, 옥포읍 
140, 종로1가
141, 노원동1가
142, 방촌동
143, 감삼동 
144, 도원동 
145, 산격1동
146, 대흥동
147, 읍내동
150, 동암로 
151, 서변동
152, 학정동
155, 두류동
157, 검단동 
158, 대명11동
160, 본동
161, 수창동
162, 대명동 
164, 신기동
165, 동인동3가
166, 검사동
167, 범물동 
168, 황금동
169, 만촌동
170, 다사읍
171, 원대동3가
173, 비산동
174, 성당동 
175, 송현동
176, 대명동(대명4동)
180, 대명동(대명1동)
181, 상인동
182, 송현동(송현1동)
183, 상인동(상인2동)
193, 대곡동 
194, 월성동 
197, 내당동
198, 월성2동
200, 대명5동
201, 두산동
203, 공산동
204, 학정동 
205, 동천동 
207, 범물동(범물2동)
208, 용계동
216, 비산동 
219, 율하동
222, 시지동 
223, 만촌1동 
224, 수성동4가
226, 지산동
229, 대현동
231, 대명3동
232, 노원동3가
233, 내당동 
235, 산격동
239, 신천동
243, 침산동
244, 신당동
247, 화원읍
248, 화원읍 성산리
250, 본리동 
255, 용산동
256, 동변동 
258, 봉산동
260, 범어3동
262, 국채보상로48길 
263, 장기동
264, 수성동3가 
266, 신당동 
268, 효목동 
269, 상인동 
270, 중동
272, 범어동 
275, 검단동
278, 산격동 
279, 태전동
280, 입석동
281, 
283, 방촌동 
285, 수성동1가
287, 용산동 
288, 두류남5길 
294, 율암동
295, 구지면
296, 시지동
297, 황금1동
299, 범어동(범어1동)
305, 남일동 
306, 각산동 
307, 향촌동
308, 중리동
312, 평리동
314, 내당1동
316, 호산동
320, 대명4동
329, 황금동 
330, 봉무동
335, 두류동 
340, 불로동
342, 대명9동
344, 효목2동
347, 노원3동
348, 칠곡3동
349, 호산동 
350, 수성동1가(수성1가동)
354, 신매동 
355, 화원읍 
359, 대림동
360, 사일동
363, 노변동
366, 신평동
367, 괴전동
371, 대명동(대명10동)
374, 삼덕동2가
380, 평리동 
381, 지산1동
382, 평리3동
389, 가천동
391, 성내2동
392, 읍내동 
400, 달구벌대로323길 
408, 남산동 
411, 성내1동
412, 비산동(비산1동)
413, 효목동
415, 화원읍 구라리
416, 화원읍 천내리
417, 숙천동 
420, 남일동
423, 남산1동
425, 태전동 
429, 삼덕동1가
432, 침산2동
434, 사수동
435, 지산1동 
440, 대신동 
445, 효목동(효목1동)
457, 백안동
461, 복현동
462, 본리동
464, 상인1동
470, 이천동
472, 현풍면
473, 대봉동
476, 논공읍 
482, 동인동1가 
483, 논공읍
491, 화원읍 명곡리
495, 지산동 
497, 관음동
498, 동천동
501, 내당동(내당1동)
502, 상중이동
503, 죽전동
