일자,기온(°C),강수량(mm),풍속(m/s),습도(%),1시간평균 미세먼지농도(㎍/㎥)
2023-01-01,1.6,,2.5,64.6,35.3
2023-01-02,0.7,,3.7,39.9,12.1
2023-01-03,-0.2,,3.5,49.5,15.3
2023-01-04,0.9,,2.9,54.3,22.5
2023-01-05,0.4,,1.2,70.0,56.2
2023-01-06,1.8,,1.0,68.5,70.2
2023-01-07,3.3,0.0,2.3,69.4,70.5
2023-01-08,2.3,,1.1,66.9,71.5
2023-01-09,3.3,,1.3,69.2,62.6
2023-01-10,2.8,,0.8,70.3,60.3
2023-01-11,4.2,,1.1,67.8,52.2
2023-01-12,5.4,0.0,0.9,59.1,50.7
2023-01-13,10.6,1.7,1.0,94.1,43.5
2023-01-14,9.5,0.0,3.1,97.4,17.3
2023-01-15,4.5,0.3,2.7,94.2,9.6
2023-01-16,-0.5,,3.8,67.2,15.6
2023-01-17,-0.6,,2.6,58.2,19.7
2023-01-18,0.5,,1.7,72.0,43.0
2023-01-19,0.3,,1.2,73.1,49.5
2023-01-20,0.6,,3.5,58.4,53.8
2023-01-21,-2.1,,2.4,50.9,18.0
2023-01-22,-0.7,,0.8,58.0,23.1
2023-01-23,2.6,,1.9,63.5,37.8
2023-01-24,-7.2,,6.2,50.9,24.6
2023-01-25,-9.1,,3.5,47.2,12.8
2023-01-26,-4.8,0.0,1.4,57.4,24.2
2023-01-27,-2.6,0.0,4.8,42.8,26.3
2023-01-28,-3.9,,3.9,39.6,28.8
2023-01-29,0.4,,2.4,50.9,40.8
2023-01-30,1.7,0.0,3.4,33.5,33.0
2023-01-31,1.3,,1.2,39.5,37.5
2023-02-01,3.7,,2.8,44.3,45.3
2023-02-02,1.5,,2.4,38.6,31.6
2023-02-03,2.1,,1.9,33.7,33.2
2023-02-04,2.0,,3.3,38.9,31.7
2023-02-05,1.7,,1.4,44.8,38.9
2023-02-06,3.6,,1.1,43.0,48.6
2023-02-07,5.2,,1.7,53.0,46.2
2023-02-08,4.9,,2.0,55.0,45.1
2023-02-09,3.6,,2.7,53.8,36.2
2023-02-10,4.8,2.7,2.3,80.8,12.6
2023-02-11,3.7,,1.2,79.0,35.2
2023-02-12,4.3,,1.6,76.0,37.0
2023-02-13,6.3,0.1,2.0,73.1,31.0
2023-02-14,4.9,,2.7,62.8,21.3
2023-02-15,2.8,0.0,3.3,70.9,10.8
2023-02-16,4.8,,1.7,66.7,21.3
2023-02-17,3.9,,1.1,63.2,35.5
2023-02-18,6.7,0.0,1.1,66.2,47.8
2023-02-19,7.6,0.0,4.1,53.3,32.5
2023-02-20,2.8,,4.1,33.3,29.4
2023-02-21,1.2,,2.5,36.9,24.5
2023-02-22,3.3,,1.5,54.7,31.0
2023-02-23,7.6,0.0,2.8,39.5,33.2
2023-02-24,7.6,,3.4,34.4,43.9
2023-02-25,4.0,,3.4,33.3,26.8
2023-02-26,3.8,,1.6,32.9,31.0
2023-02-27,5.9,,1.3,35.5,39.2
2023-02-28,8.4,,1.7,39.5,37.0
2023-03-01,8.6,,2.6,54.9,32.4
2023-03-02,4.9,,4.0,22.9,34.8
2023-03-03,7.2,,2.8,25.6,41.1
2023-03-04,8.0,,1.8,48.1,48.8
2023-03-05,8.7,,1.6,57.5,40.4
2023-03-06,10.2,,1.3,46.5,45.6
2023-03-07,12.7,,1.9,38.1,54.0
2023-03-08,14.2,,1.4,39.1,55.8
2023-03-09,15.7,0.0,2.0,48.1,58.5
2023-03-10,15.0,,1.7,47.1,76.7
2023-03-11,16.3,,1.1,45.8,81.1
